ADV_AMT,ADV_NUM,FOLIO1,USER_ID,WINNING_BID
170.47,00130,11503007,3561,11.00
745.34,00131,11507106,2444,7.00
60.26,00134,11511046A,3522,0.00
3249.34,00135,11513011,2356,16.00
56.53,00136,11605017,131,0.00
680.42,00138,11617003F,131,10.00
792.98,00140,11627063,3464,8.00
672.76,00141,11628005C,2894,9.00
5264.13,00142,11628036,3126,5.00
338.79,00145,11632049,3546,0.00
906.90,00147,11634071,2829,8.00
320.51,00148,11653036,3523,9.00
583.04,00149,11654053,2894,9.00
2091.76,00153,11658008,3473,3.00
2486.73,00156,11658050,3555,5.00
933.73,00157,11658062,2328,4.00
1885.76,00158,11658063,2437,6.00
1885.76,00159,11658073,2328,4.00
1885.76,00160,11658085,3473,0.00
2471.91,00161,11658087,2328,4.00
2784.78,00162,11658115,3555,5.00
2377.91,00163,11658118,2328,4.00
2784.78,00165,11658179,3555,5.00
2784.78,00166,11658182,3555,5.00
2784.78,00167,11658183,3555,5.00
2784.78,00168,11658188,2892,5.00
2784.78,00169,11658190,3555,5.00
2264.92,00170,11658205,2437,7.00
2897.38,00171,11658214,3555,5.00
2614.44,00173,11658264,2437,7.00
1286.16,00174,11658302,3288,5.00
140.98,00176,11659052,3473,0.00
1204.30,00178,11705009C,3515,0.00
690.81,00179,11721042,3303,5.00
1487.06,00182,11733080,3570,5.00
1064.97,00183,11739016,3355,6.00
1294.46,00184,11746030,2328,5.00
1294.11,00185,11746031,2437,6.00
1294.11,00186,11746032,3584,5.00
1513.95,00187,11746033,3584,4.00
1520.97,00188,11746034,2437,7.00
1247.51,00189,11746037,3570,5.00
1476.27,00190,11746041,2437,6.00
575.61,00191,20003013A,2894,9.00
299.51,00192,20003015,3340,8.00
624.75,00193,20003022,2829,8.00
264.91,00194,20003034,3340,8.00
622.85,00195,20004045,2894,9.00
7502.36,00197,20007028,2356,13.00
484.00,00198,20007041,3583,5.00
1866.96,00199,20012004A,3168,8.00
669.32,00200,20104002,3550,9.00
3600.25,00201,20105006,3373,6.00
8993.19,00202,20108006,131,8.00
367.19,00203,20112006,131,11.00
9001.60,00205,20123001,3373,6.00
272.83,00206,20123002,3308,14.00
138.60,00207,20123003A,3308,15.00
544.01,00208,20123004,131,8.00
327.34,00209,20127014,131,13.00
180.70,00211,20136014,131,9.00
2676.39,00212,20140004,3373,7.00
212.25,00215,20202024,2892,4.00
694.29,00216,20202034V,3426,6.00
694.29,00217,20202034W,3518,12.00
435.13,00218,20202034Y,2849,10.00
694.29,00219,20202034Z,3426,6.00
287.77,00220,20203010M,3479,0.00
142.31,00221,20204002,2567,0.00
142.31,00222,20204052,131,9.00
269.72,00223,20204129,2892,0.00
267.05,00224,20204132,2567,0.00
767.37,00225,20206003F,2829,8.00
2040.72,00226,20206037,2356,16.00
