RA_ITEMID,SEQ_NUMBER,PARCEL,FACEVALUE,PREMIUM
2971632,230782,1975-31-2-18-003,3367.8,
2971633,230783,1975-31-2-18-006,3218.38,
2971634,230784,1975-31-2-18-034,1330.25,
2971635,230785,1975-31-2-18-046,2909.11,
2971636,230786,1975-31-2-20-019,1699.3,
2971637,230788,1975-31-4-04-036,2547.28,
2971638,230789,1975-31-4-05-002,2547.99,
2971639,230790,1975-31-4-22-006,2676.39,
2971640,230793,1975-31-4-33-006,2022.96,
2971641,230794,1975-31-4-41-020,1539.14,
2971642,230795,1975-31-4-41-061,1539.14,
2971643,230796,1975-31-4-41-101,1539.14,
2971644,230797,1975-32-1-03-008,99.34,
2971645,230800,1975-32-1-18-002,2816.7,
2971646,230801,1975-32-2-01-024,2615.04,
2971647,230807,1975-32-2-05-013,2610.66,
2971648,230808,1975-32-2-07-051,2591.93,
2971649,230810,1975-32-2-12-020,1290.8,
2971650,230815,1975-32-3-06-006,2701,
2971651,230817,1975-32-3-08-038,2582.92,
2971652,230818,1975-32-3-09-023,2516.52,
2971653,230821,1975-32-3-12-057,2533.7,
2971654,230827,1975-32-4-05-009,4628.54,
2971655,230828,1975-32-4-09-012,1907.98,
2971656,230833,1975-32-4-19-001,1346.25,
2971657,230835,1975-33-1-01-005,2804.78,
2971658,230836,1975-33-1-03-004,2534.47,
2971659,230842,1975-33-2-08-008,2720.45,
2971660,230843,1975-33-2-12-016,2745.79,
2971661,230844,1975-33-2-14-002,1367.76,
2971662,230851,1975-34-2-01-009,1727.14,
2971663,230856,1975-34-3-03-038,1014.33,
2971664,230862,1977-00-0-00-160,2827.4,
2971665,230863,1977-00-0-00-818,24.95,
2971666,230864,1977-00-0-04-005,4216.81,
2971667,230865,1977-07-4-01-001,6298.97,
2971668,230866,1977-07-4-02-008,4441.94,
2971669,230867,1977-07-4-03-012,8904.78,
2971670,230868,1977-07-4-03-013,3549.02,
2971671,230869,1979-00-0-00-085,2421.68,
2971672,230870,1979-00-0-00-094,100.67,
2971673,230871,1979-00-0-01-006,1387.93,
2971674,230873,1981-00-0-01-012,1577.07,
2971675,230874,1981-00-0-01-016,1395.35,
